Current(mA),Resistance(Ohm),sample name,Applied in-plane field (Oe),Initial resistance Ohm,Pulse width s
0,"1.98487088
",sample name,100.0,1299.6085339185354,0.08
0.55,"1.9859623
",sample name,100.0,1299.6085339185354,0.08
1.1,"1.98488975
",sample name,100.0,1299.6085339185354,0.08
1.6500000000000001,"1.98551659
",sample name,100.0,1299.6085339185354,0.08
2.2,"1.98576694
",sample name,100.0,1299.6085339185354,0.08
2.75,"1.98532128
",sample name,100.0,1299.6085339185354,0.08
3.3,"1.98563104
",sample name,100.0,1299.6085339185354,0.08
3.8499999999999996,"1.98506205
",sample name,100.0,1299.6085339185354,0.08
4.3999999999999995,"1.97043617
",sample name,100.0,1299.6085339185354,0.08
4.949999999999999,"1.94755318
",sample name,100.0,1299.6085339185354,0.08
5.499999999999999,"1.92116323
",sample name,100.0,1299.6085339185354,0.08
6.049999999999999,"1.88275072
",sample name,100.0,1299.6085339185354,0.08
6.599999999999999,"1.85382142
",sample name,100.0,1299.6085339185354,0.08
7.149999999999999,"1.83868476
",sample name,100.0,1299.6085339185354,0.08
7.699999999999998,"1.82530843
",sample name,100.0,1299.6085339185354,0.08
8.249999999999998,"1.81673658
",sample name,100.0,1299.6085339185354,0.08
8.799999999999999,"1.8123565
",sample name,100.0,1299.6085339185354,0.08
9.35,"1.81083456
",sample name,100.0,1299.6085339185354,0.08
9.9,"1.80690397
",sample name,100.0,1299.6085339185354,0.08
10.450000000000001,"1.80449785
",sample name,100.0,1299.6085339185354,0.08
11.000000000000002,"1.79984823
",sample name,100.0,1299.6085339185354,0.08
10.450000000000001,"1.79750442
",sample name,100.0,1299.6085339185354,0.08
9.9,"1.79805699
",sample name,100.0,1299.6085339185354,0.08
9.35,"1.79796409
",sample name,100.0,1299.6085339185354,0.08
8.799999999999999,"1.79745986
",sample name,100.0,1299.6085339185354,0.08
8.249999999999998,"1.79744639
",sample name,100.0,1299.6085339185354,0.08
7.699999999999998,"1.79716471
",sample name,100.0,1299.6085339185354,0.08
7.149999999999999,"1.79747629
",sample name,100.0,1299.6085339185354,0.08
6.599999999999999,"1.79792212
",sample name,100.0,1299.6085339185354,0.08
6.049999999999999,"1.79803503
",sample name,100.0,1299.6085339185354,0.08
5.499999999999999,"1.79881657
",sample name,100.0,1299.6085339185354,0.08
4.949999999999999,"1.79803499
",sample name,100.0,1299.6085339185354,0.08
4.3999999999999995,"1.79942322
",sample name,100.0,1299.6085339185354,0.08
