Current(mA),Resistance(Ohm),sample name,Applied in-plane field (Oe),Initial resistance Ohm,Pulse width s
0,"1.98555972
",sample name,100.0,1254.3956958067392,0.09
0.55,"1.98568246
",sample name,100.0,1254.3956958067392,0.09
1.1,"1.98589657
",sample name,100.0,1254.3956958067392,0.09
1.6500000000000001,"1.98584921
",sample name,100.0,1254.3956958067392,0.09
2.2,"1.98565243
",sample name,100.0,1254.3956958067392,0.09
2.75,"1.98445391
",sample name,100.0,1254.3956958067392,0.09
3.3,"1.98252001
",sample name,100.0,1254.3956958067392,0.09
3.8499999999999996,"1.97340244
",sample name,100.0,1254.3956958067392,0.09
4.3999999999999995,"1.95535688
",sample name,100.0,1254.3956958067392,0.09
4.949999999999999,"1.93423735
",sample name,100.0,1254.3956958067392,0.09
5.499999999999999,"1.90602712
",sample name,100.0,1254.3956958067392,0.09
6.049999999999999,"1.88303323
",sample name,100.0,1254.3956958067392,0.09
6.599999999999999,"1.85465091
",sample name,100.0,1254.3956958067392,0.09
7.149999999999999,"1.84184736
",sample name,100.0,1254.3956958067392,0.09
7.699999999999998,"1.82944942
",sample name,100.0,1254.3956958067392,0.09
8.249999999999998,"1.82262316
",sample name,100.0,1254.3956958067392,0.09
8.799999999999999,"1.81535221
",sample name,100.0,1254.3956958067392,0.09
9.35,"1.80982806
",sample name,100.0,1254.3956958067392,0.09
9.9,"1.80314301
",sample name,100.0,1254.3956958067392,0.09
10.450000000000001,"1.80085839
",sample name,100.0,1254.3956958067392,0.09
11.000000000000002,"1.79899077
",sample name,100.0,1254.3956958067392,0.09
10.450000000000001,"1.79607377
",sample name,100.0,1254.3956958067392,0.09
9.9,"1.79561637
",sample name,100.0,1254.3956958067392,0.09
9.35,"1.79619007
",sample name,100.0,1254.3956958067392,0.09
8.799999999999999,"1.79636491
",sample name,100.0,1254.3956958067392,0.09
8.249999999999998,"1.79538156
",sample name,100.0,1254.3956958067392,0.09
7.699999999999998,"1.79546125
",sample name,100.0,1254.3956958067392,0.09
7.149999999999999,"1.79556907
",sample name,100.0,1254.3956958067392,0.09
6.599999999999999,"1.7969651
",sample name,100.0,1254.3956958067392,0.09
6.049999999999999,"1.79673
",sample name,100.0,1254.3956958067392,0.09
