Current(mA),Resistance(Ohm),sample name,Applied in-plane field (Oe),Initial resistance Ohm,Pulse width s
0,"1.98757851
",sample name,100.0,1737.331138822433,0.15000000000000002
0.55,"1.98775486
",sample name,100.0,1737.331138822433,0.15000000000000002
1.1,"1.98777294
",sample name,100.0,1737.331138822433,0.15000000000000002
1.6500000000000001,"1.98845895
",sample name,100.0,1737.331138822433,0.15000000000000002
2.2,"1.9886248
",sample name,100.0,1737.331138822433,0.15000000000000002
2.75,"1.98797185
",sample name,100.0,1737.331138822433,0.15000000000000002
3.3,"1.98694028
",sample name,100.0,1737.331138822433,0.15000000000000002
3.8499999999999996,"1.97107163
",sample name,100.0,1737.331138822433,0.15000000000000002
4.3999999999999995,"1.94456916
",sample name,100.0,1737.331138822433,0.15000000000000002
4.949999999999999,"1.91609247
",sample name,100.0,1737.331138822433,0.15000000000000002
5.499999999999999,"1.88739474
",sample name,100.0,1737.331138822433,0.15000000000000002
6.049999999999999,"1.86354515
",sample name,100.0,1737.331138822433,0.15000000000000002
6.599999999999999,"1.84724308
",sample name,100.0,1737.331138822433,0.15000000000000002
7.149999999999999,"1.83396141
",sample name,100.0,1737.331138822433,0.15000000000000002
7.699999999999998,"1.82400671
",sample name,100.0,1737.331138822433,0.15000000000000002
8.249999999999998,"1.8172625
",sample name,100.0,1737.331138822433,0.15000000000000002
8.799999999999999,"1.81040577
",sample name,100.0,1737.331138822433,0.15000000000000002
9.35,"1.80293251
",sample name,100.0,1737.331138822433,0.15000000000000002
9.9,"1.79784182
",sample name,100.0,1737.331138822433,0.15000000000000002
10.450000000000001,"1.79670402
",sample name,100.0,1737.331138822433,0.15000000000000002
11.000000000000002,"1.7956252
",sample name,100.0,1737.331138822433,0.15000000000000002
10.450000000000001,"1.79495145
",sample name,100.0,1737.331138822433,0.15000000000000002
9.9,"1.79505225
",sample name,100.0,1737.331138822433,0.15000000000000002
9.35,"1.79369834
",sample name,100.0,1737.331138822433,0.15000000000000002
8.799999999999999,"1.79289617
",sample name,100.0,1737.331138822433,0.15000000000000002
8.249999999999998,"1.7956116
",sample name,100.0,1737.331138822433,0.15000000000000002
7.699999999999998,"1.79511821
",sample name,100.0,1737.331138822433,0.15000000000000002
7.149999999999999,"1.7952195
",sample name,100.0,1737.331138822433,0.15000000000000002
6.599999999999999,"1.79530011
",sample name,100.0,1737.331138822433,0.15000000000000002
6.049999999999999,"1.79682335
",sample name,100.0,1737.331138822433,0.15000000000000002
5.499999999999999,"1.79792173
",sample name,100.0,1737.331138822433,0.15000000000000002
4.949999999999999,"1.79924234
",sample name,100.0,1737.331138822433,0.15000000000000002
4.3999999999999995,"1.79916727
",sample name,100.0,1737.331138822433,0.15000000000000002
3.8499999999999996,"1.80102196
",sample name,100.0,1737.331138822433,0.15000000000000002
3.3,"1.80008576
",sample name,100.0,1737.331138822433,0.15000000000000002
