Current(mA),Resistance(Ohm),sample name,Applied in-plane field (Oe),Initial resistance Ohm,Pulse width s
0,"1.98431221
",sample name,100.0,1364.1278636885168,0.03
0.55,"1.98464404
",sample name,100.0,1364.1278636885168,0.03
1.1,"1.98537183
",sample name,100.0,1364.1278636885168,0.03
1.6500000000000001,"1.98427196
",sample name,100.0,1364.1278636885168,0.03
2.2,"1.9842259
",sample name,100.0,1364.1278636885168,0.03
2.75,"1.98436709
",sample name,100.0,1364.1278636885168,0.03
3.3,"1.98609343
",sample name,100.0,1364.1278636885168,0.03
3.8499999999999996,"1.98464512
",sample name,100.0,1364.1278636885168,0.03
4.3999999999999995,"1.98316114
",sample name,100.0,1364.1278636885168,0.03
4.949999999999999,"1.9690498
",sample name,100.0,1364.1278636885168,0.03
5.499999999999999,"1.94822036
",sample name,100.0,1364.1278636885168,0.03
6.049999999999999,"1.919035
",sample name,100.0,1364.1278636885168,0.03
6.599999999999999,"1.88229484
",sample name,100.0,1364.1278636885168,0.03
7.149999999999999,"1.86597932
",sample name,100.0,1364.1278636885168,0.03
7.699999999999998,"1.85360566
",sample name,100.0,1364.1278636885168,0.03
8.249999999999998,"1.8422904
",sample name,100.0,1364.1278636885168,0.03
8.799999999999999,"1.82690501
",sample name,100.0,1364.1278636885168,0.03
9.35,"1.81970036
",sample name,100.0,1364.1278636885168,0.03
9.9,"1.81611597
",sample name,100.0,1364.1278636885168,0.03
10.450000000000001,"1.81294338
",sample name,100.0,1364.1278636885168,0.03
11.000000000000002,"1.80619655
",sample name,100.0,1364.1278636885168,0.03
10.450000000000001,"1.80462473
",sample name,100.0,1364.1278636885168,0.03
9.9,"1.80485597
",sample name,100.0,1364.1278636885168,0.03
9.35,"1.80535688
",sample name,100.0,1364.1278636885168,0.03
8.799999999999999,"1.80465482
",sample name,100.0,1364.1278636885168,0.03
8.249999999999998,"1.80417064
",sample name,100.0,1364.1278636885168,0.03
7.699999999999998,"1.8038136
",sample name,100.0,1364.1278636885168,0.03
7.149999999999999,"1.8043131
",sample name,100.0,1364.1278636885168,0.03
6.599999999999999,"1.80433417
",sample name,100.0,1364.1278636885168,0.03
6.049999999999999,"1.80468433
",sample name,100.0,1364.1278636885168,0.03
5.499999999999999,"1.80439481
",sample name,100.0,1364.1278636885168,0.03
4.949999999999999,"1.80580335
",sample name,100.0,1364.1278636885168,0.03
