Current(mA),Resistance(Ohm),sample name,Applied in-plane field (Oe),Initial resistance Ohm,Pulse width s
0,"1.9771744
",sample name,100.0,1484.4003080056236,0.6
0.55,"1.97672571
",sample name,100.0,1484.4003080056236,0.6
1.1,"1.97871802
",sample name,100.0,1484.4003080056236,0.6
1.6500000000000001,"1.97864466
",sample name,100.0,1484.4003080056236,0.6
2.2,"1.97708226
",sample name,100.0,1484.4003080056236,0.6
2.75,"1.97318259
",sample name,100.0,1484.4003080056236,0.6
3.3,"1.94021777
",sample name,100.0,1484.4003080056236,0.6
3.8499999999999996,"1.90482471
",sample name,100.0,1484.4003080056236,0.6
4.3999999999999995,"1.87362819
",sample name,100.0,1484.4003080056236,0.6
4.949999999999999,"1.85345623
",sample name,100.0,1484.4003080056236,0.6
5.499999999999999,"1.83671655
",sample name,100.0,1484.4003080056236,0.6
6.049999999999999,"1.82326526
",sample name,100.0,1484.4003080056236,0.6
6.599999999999999,"1.81192626
",sample name,100.0,1484.4003080056236,0.6
7.149999999999999,"1.79774366
",sample name,100.0,1484.4003080056236,0.6
7.699999999999998,"1.79022138
",sample name,100.0,1484.4003080056236,0.6
8.249999999999998,"1.78706124
",sample name,100.0,1484.4003080056236,0.6
8.799999999999999,"1.78378704
",sample name,100.0,1484.4003080056236,0.6
9.35,"1.78229091
",sample name,100.0,1484.4003080056236,0.6
9.9,"1.7803047
",sample name,100.0,1484.4003080056236,0.6
10.450000000000001,"1.77743561
",sample name,100.0,1484.4003080056236,0.6
11.000000000000002,"1.77444433
",sample name,100.0,1484.4003080056236,0.6
10.450000000000001,"1.77035841
",sample name,100.0,1484.4003080056236,0.6
9.9,"1.77041226
",sample name,100.0,1484.4003080056236,0.6
9.35,"1.76956091
",sample name,100.0,1484.4003080056236,0.6
8.799999999999999,"1.77068026
",sample name,100.0,1484.4003080056236,0.6
8.249999999999998,"1.77182685
",sample name,100.0,1484.4003080056236,0.6
7.699999999999998,"1.77208423
",sample name,100.0,1484.4003080056236,0.6
7.149999999999999,"1.77266103
",sample name,100.0,1484.4003080056236,0.6
6.599999999999999,"1.7728489
",sample name,100.0,1484.4003080056236,0.6
6.049999999999999,"1.7746435
",sample name,100.0,1484.4003080056236,0.6
5.499999999999999,"1.77611106
",sample name,100.0,1484.4003080056236,0.6
4.949999999999999,"1.77721549
",sample name,100.0,1484.4003080056236,0.6
4.3999999999999995,"1.77788683
",sample name,100.0,1484.4003080056236,0.6
3.8499999999999996,"1.77972542
",sample name,100.0,1484.4003080056236,0.6
3.3,"1.78079875
",sample name,100.0,1484.4003080056236,0.6
2.75,"1.78366435
",sample name,100.0,1484.4003080056236,0.6
2.2,"1.7845313
",sample name,100.0,1484.4003080056236,0.6
1.6500000000000001,"1.78478198
",sample name,100.0,1484.4003080056236,0.6
1.1,"1.78602167
",sample name,100.0,1484.4003080056236,0.6
0.55,"1.78691787
",sample name,100.0,1484.4003080056236,0.6
0.0,"1.78791396
",sample name,100.0,1484.4003080056236,0.6
-0.55,"1.78908502
",sample name,100.0,1484.4003080056236,0.6
-1.1,"1.78933934
",sample name,100.0,1484.4003080056236,0.6
-1.6500000000000001,"1.7934004
",sample name,100.0,1484.4003080056236,0.6
-2.2,"1.7976611
",sample name,100.0,1484.4003080056236,0.6
-2.75,"1.82610703
",sample name,100.0,1484.4003080056236,0.6
-3.3,"1.88419716
",sample name,100.0,1484.4003080056236,0.6
-3.8499999999999996,"1.91886563
",sample name,100.0,1484.4003080056236,0.6
-4.3999999999999995,"1.93047489
",sample name,100.0,1484.4003080056236,0.6
-4.949999999999999,"1.94715195
",sample name,100.0,1484.4003080056236,0.6
-5.499999999999999,"1.9501092
",sample name,100.0,1484.4003080056236,0.6
-6.049999999999999,"1.9596513
",sample name,100.0,1484.4003080056236,0.6
-6.599999999999999,"1.96223977
",sample name,100.0,1484.4003080056236,0.6
-7.149999999999999,"1.96315828
",sample name,100.0,1484.4003080056236,0.6
-7.699999999999998,"1.9679898
",sample name,100.0,1484.4003080056236,0.6
-8.249999999999998,"1.96556247
",sample name,100.0,1484.4003080056236,0.6
-8.799999999999999,"1.96473847
",sample name,100.0,1484.4003080056236,0.6
-9.35,"1.96293795
",sample name,100.0,1484.4003080056236,0.6
-9.9,"1.96224282
",sample name,100.0,1484.4003080056236,0.6
-10.450000000000001,"1.96084146
",sample name,100.0,1484.4003080056236,0.6
-11.000000000000002,"1.95912595
",sample name,100.0,1484.4003080056236,0.6
-10.450000000000001,"1.95726553
",sample name,100.0,1484.4003080056236,0.6
-9.9,"1.95587782
",sample name,100.0,1484.4003080056236,0.6
-9.35,"1.95704361
",sample name,100.0,1484.4003080056236,0.6
-8.799999999999999,"1.95661381
",sample name,100.0,1484.4003080056236,0.6
-8.249999999999998,"1.95701011
",sample name,100.0,1484.4003080056236,0.6
-7.699999999999998,"1.95715772
",sample name,100.0,1484.4003080056236,0.6
-7.149999999999999,"1.95783739
",sample name,100.0,1484.4003080056236,0.6
-6.599999999999999,"1.96023566
",sample name,100.0,1484.4003080056236,0.6
-6.049999999999999,"1.96175111
",sample name,100.0,1484.4003080056236,0.6
-5.499999999999999,"1.96053877
",sample name,100.0,1484.4003080056236,0.6
-4.949999999999999,"1.96306525
",sample name,100.0,1484.4003080056236,0.6
-4.3999999999999995,"1.96372836
",sample name,100.0,1484.4003080056236,0.6
-3.8499999999999996,"1.96608677
",sample name,100.0,1484.4003080056236,0.6
-3.3,"1.96690775
",sample name,100.0,1484.4003080056236,0.6
-2.75,"1.96842213
",sample name,100.0,1484.4003080056236,0.6
-2.2,"1.96953515
",sample name,100.0,1484.4003080056236,0.6
-1.6500000000000001,"1.97015542
",sample name,100.0,1484.4003080056236,0.6
-1.1,"1.97179979
",sample name,100.0,1484.4003080056236,0.6
-0.55,"1.97264236
",sample name,100.0,1484.4003080056236,0.6
0.0,"1.97392841
",sample name,100.0,1484.4003080056236,0.6
