Current(mA),Resistance(Ohm),sample name,Applied in-plane field (Oe),Initial resistance Ohm,Pulse width s
0,"1.98207455
",sample name,100.0,1276.0778347901057,0.3
0.55,"1.98236662
",sample name,100.0,1276.0778347901057,0.3
1.1,"1.98331126
",sample name,100.0,1276.0778347901057,0.3
1.6500000000000001,"1.98339125
",sample name,100.0,1276.0778347901057,0.3
2.2,"1.98287739
",sample name,100.0,1276.0778347901057,0.3
2.75,"1.98349653
",sample name,100.0,1276.0778347901057,0.3
3.3,"1.96817812
",sample name,100.0,1276.0778347901057,0.3
3.8499999999999996,"1.93442603
",sample name,100.0,1276.0778347901057,0.3
4.3999999999999995,"1.89511106
",sample name,100.0,1276.0778347901057,0.3
4.949999999999999,"1.86864648
",sample name,100.0,1276.0778347901057,0.3
5.499999999999999,"1.84937361
",sample name,100.0,1276.0778347901057,0.3
6.049999999999999,"1.83618064
",sample name,100.0,1276.0778347901057,0.3
6.599999999999999,"1.81943485
",sample name,100.0,1276.0778347901057,0.3
7.149999999999999,"1.81043927
",sample name,100.0,1276.0778347901057,0.3
7.699999999999998,"1.80347048
",sample name,100.0,1276.0778347901057,0.3
8.249999999999998,"1.7991043
",sample name,100.0,1276.0778347901057,0.3
8.799999999999999,"1.79585774
",sample name,100.0,1276.0778347901057,0.3
9.35,"1.7936732
",sample name,100.0,1276.0778347901057,0.3
9.9,"1.79234419
",sample name,100.0,1276.0778347901057,0.3
10.450000000000001,"1.78726731
",sample name,100.0,1276.0778347901057,0.3
11.000000000000002,"1.7841013
",sample name,100.0,1276.0778347901057,0.3
10.450000000000001,"1.78390725
",sample name,100.0,1276.0778347901057,0.3
9.9,"1.78281718
",sample name,100.0,1276.0778347901057,0.3
9.35,"1.78255398
",sample name,100.0,1276.0778347901057,0.3
8.799999999999999,"1.7831873
",sample name,100.0,1276.0778347901057,0.3
8.249999999999998,"1.78259465
",sample name,100.0,1276.0778347901057,0.3
7.699999999999998,"1.78355026
",sample name,100.0,1276.0778347901057,0.3
7.149999999999999,"1.78478144
",sample name,100.0,1276.0778347901057,0.3
6.599999999999999,"1.78538838
",sample name,100.0,1276.0778347901057,0.3
6.049999999999999,"1.78513248
",sample name,100.0,1276.0778347901057,0.3
5.499999999999999,"1.78611731
",sample name,100.0,1276.0778347901057,0.3
4.949999999999999,"1.78842304
",sample name,100.0,1276.0778347901057,0.3
4.3999999999999995,"1.78917133
",sample name,100.0,1276.0778347901057,0.3
3.8499999999999996,"1.7882477
",sample name,100.0,1276.0778347901057,0.3
3.3,"1.7896355
",sample name,100.0,1276.0778347901057,0.3
2.75,"1.79075414
",sample name,100.0,1276.0778347901057,0.3
2.2,"1.79214962
",sample name,100.0,1276.0778347901057,0.3
1.6500000000000001,"1.79234206
",sample name,100.0,1276.0778347901057,0.3
1.1,"1.7935416
",sample name,100.0,1276.0778347901057,0.3
0.55,"1.79532101
",sample name,100.0,1276.0778347901057,0.3
0.0,"1.79511513
",sample name,100.0,1276.0778347901057,0.3
-0.55,"1.79479852
",sample name,100.0,1276.0778347901057,0.3
-1.1,"1.79607994
",sample name,100.0,1276.0778347901057,0.3
-1.6500000000000001,"1.79562668
",sample name,100.0,1276.0778347901057,0.3
-2.2,"1.79760048
",sample name,100.0,1276.0778347901057,0.3
-2.75,"1.82320054
",sample name,100.0,1276.0778347901057,0.3
-3.3,"1.86060565
",sample name,100.0,1276.0778347901057,0.3
