Current(mA),Resistance(Ohm),sample name,Applied in-plane field (Oe),Initial resistance Ohm,Pulse width s
0,"1.98470277
",sample name,100.0,1310.7383291999624,0.02
0.55,"1.98591602
",sample name,100.0,1310.7383291999624,0.02
1.1,"1.98517652
",sample name,100.0,1310.7383291999624,0.02
1.6500000000000001,"1.98591237
",sample name,100.0,1310.7383291999624,0.02
2.2,"1.9842336
",sample name,100.0,1310.7383291999624,0.02
2.75,"1.9846106
",sample name,100.0,1310.7383291999624,0.02
3.3,"1.98474524
",sample name,100.0,1310.7383291999624,0.02
3.8499999999999996,"1.98268921
",sample name,100.0,1310.7383291999624,0.02
4.3999999999999995,"1.98052505
",sample name,100.0,1310.7383291999624,0.02
4.949999999999999,"1.97458851
",sample name,100.0,1310.7383291999624,0.02
5.499999999999999,"1.95814078
",sample name,100.0,1310.7383291999624,0.02
6.049999999999999,"1.92700102
",sample name,100.0,1310.7383291999624,0.02
6.599999999999999,"1.90135298
",sample name,100.0,1310.7383291999624,0.02
7.149999999999999,"1.87629862
",sample name,100.0,1310.7383291999624,0.02
7.699999999999998,"1.85693938
",sample name,100.0,1310.7383291999624,0.02
8.249999999999998,"1.84485824
",sample name,100.0,1310.7383291999624,0.02
8.799999999999999,"1.83439276
",sample name,100.0,1310.7383291999624,0.02
9.35,"1.82501235
",sample name,100.0,1310.7383291999624,0.02
9.9,"1.81870471
",sample name,100.0,1310.7383291999624,0.02
10.450000000000001,"1.81272832
",sample name,100.0,1310.7383291999624,0.02
11.000000000000002,"1.80762693
",sample name,100.0,1310.7383291999624,0.02
10.450000000000001,"1.80793659
",sample name,100.0,1310.7383291999624,0.02
9.9,"1.80477597
",sample name,100.0,1310.7383291999624,0.02
9.35,"1.80534814
",sample name,100.0,1310.7383291999624,0.02
8.799999999999999,"1.80412287
",sample name,100.0,1310.7383291999624,0.02
8.249999999999998,"1.80464751
",sample name,100.0,1310.7383291999624,0.02
7.699999999999998,"1.8055912
",sample name,100.0,1310.7383291999624,0.02
7.149999999999999,"1.80511853
",sample name,100.0,1310.7383291999624,0.02
6.599999999999999,"1.80613852
",sample name,100.0,1310.7383291999624,0.02
6.049999999999999,"1.80773555
",sample name,100.0,1310.7383291999624,0.02
5.499999999999999,"1.80778953
",sample name,100.0,1310.7383291999624,0.02
4.949999999999999,"1.80666979
",sample name,100.0,1310.7383291999624,0.02
4.3999999999999995,"1.80799084
",sample name,100.0,1310.7383291999624,0.02
3.8499999999999996,"1.80836846
",sample name,100.0,1310.7383291999624,0.02
3.3,"1.80849394
",sample name,100.0,1310.7383291999624,0.02
2.75,"1.80808309
",sample name,100.0,1310.7383291999624,0.02
2.2,"1.80869595
",sample name,100.0,1310.7383291999624,0.02
1.6500000000000001,"1.8085868
",sample name,100.0,1310.7383291999624,0.02
1.1,"1.80942779
",sample name,100.0,1310.7383291999624,0.02
0.55,"1.80979171
",sample name,100.0,1310.7383291999624,0.02
0.0,"1.80881595
",sample name,100.0,1310.7383291999624,0.02
-0.55,"1.8096649
",sample name,100.0,1310.7383291999624,0.02
-1.1,"1.80765662
",sample name,100.0,1310.7383291999624,0.02
-1.6500000000000001,"1.80942176
",sample name,100.0,1310.7383291999624,0.02
-2.2,"1.80904303
",sample name,100.0,1310.7383291999624,0.02
-2.75,"1.81013459
",sample name,100.0,1310.7383291999624,0.02
-3.3,"1.81153668
",sample name,100.0,1310.7383291999624,0.02
-3.8499999999999996,"1.81316203
",sample name,100.0,1310.7383291999624,0.02
-4.3999999999999995,"1.82103183
",sample name,100.0,1310.7383291999624,0.02
-4.949999999999999,"1.83241393
",sample name,100.0,1310.7383291999624,0.02
-5.499999999999999,"1.86633806
",sample name,100.0,1310.7383291999624,0.02
-6.049999999999999,"1.89918836
",sample name,100.0,1310.7383291999624,0.02
-6.599999999999999,"1.93025545
",sample name,100.0,1310.7383291999624,0.02
-7.149999999999999,"1.94712369
",sample name,100.0,1310.7383291999624,0.02
-7.699999999999998,"1.95648373
",sample name,100.0,1310.7383291999624,0.02
-8.249999999999998,"1.96295458
",sample name,100.0,1310.7383291999624,0.02
-8.799999999999999,"1.96517714
",sample name,100.0,1310.7383291999624,0.02
-9.35,"1.97130387
",sample name,100.0,1310.7383291999624,0.02
-9.9,"1.9760988
",sample name,100.0,1310.7383291999624,0.02
-10.450000000000001,"1.98033122
",sample name,100.0,1310.7383291999624,0.02
-11.000000000000002,"1.98252838
",sample name,100.0,1310.7383291999624,0.02
-10.450000000000001,"1.98262272
",sample name,100.0,1310.7383291999624,0.02
-9.9,"1.9829861
",sample name,100.0,1310.7383291999624,0.02
-9.35,"1.98199042
",sample name,100.0,1310.7383291999624,0.02
-8.799999999999999,"1.98242171
",sample name,100.0,1310.7383291999624,0.02
-8.249999999999998,"1.98191144
",sample name,100.0,1310.7383291999624,0.02
-7.699999999999998,"1.98324153
",sample name,100.0,1310.7383291999624,0.02
-7.149999999999999,"1.98363238
",sample name,100.0,1310.7383291999624,0.02
-6.599999999999999,"1.98289065
",sample name,100.0,1310.7383291999624,0.02
-6.049999999999999,"1.98220274
",sample name,100.0,1310.7383291999624,0.02
-5.499999999999999,"1.98212838
",sample name,100.0,1310.7383291999624,0.02
-4.949999999999999,"1.98274296
",sample name,100.0,1310.7383291999624,0.02
-4.3999999999999995,"1.98291102
",sample name,100.0,1310.7383291999624,0.02
-3.8499999999999996,"1.98301871
",sample name,100.0,1310.7383291999624,0.02
-3.3,"1.98248635
",sample name,100.0,1310.7383291999624,0.02
-2.75,"1.98249031
",sample name,100.0,1310.7383291999624,0.02
-2.2,"1.98352158
",sample name,100.0,1310.7383291999624,0.02
-1.6500000000000001,"1.98312446
",sample name,100.0,1310.7383291999624,0.02
-1.1,"1.98391186
",sample name,100.0,1310.7383291999624,0.02
-0.55,"1.98421423
",sample name,100.0,1310.7383291999624,0.02
0.0,"1.98409159
",sample name,100.0,1310.7383291999624,0.02
