Current(mA),Resistance(Ohm),sample name,Applied in-plane field (Oe),Initial resistance Ohm,Pulse width s
0,"1.97568763
",sample name,100.0,1401.7024973898976,0.7
0.55,"1.97583755
",sample name,100.0,1401.7024973898976,0.7
1.1,"1.9758026
",sample name,100.0,1401.7024973898976,0.7
1.6500000000000001,"1.97530106
",sample name,100.0,1401.7024973898976,0.7
2.2,"1.97520923
",sample name,100.0,1401.7024973898976,0.7
2.75,"1.97130786
",sample name,100.0,1401.7024973898976,0.7
3.3,"1.93194199
",sample name,100.0,1401.7024973898976,0.7
3.8499999999999996,"1.89776196
",sample name,100.0,1401.7024973898976,0.7
4.3999999999999995,"1.86593792
",sample name,100.0,1401.7024973898976,0.7
4.949999999999999,"1.83613646
",sample name,100.0,1401.7024973898976,0.7
5.499999999999999,"1.81866258
",sample name,100.0,1401.7024973898976,0.7
6.049999999999999,"1.80774617
",sample name,100.0,1401.7024973898976,0.7
6.599999999999999,"1.7982363
",sample name,100.0,1401.7024973898976,0.7
7.149999999999999,"1.79216334
",sample name,100.0,1401.7024973898976,0.7
7.699999999999998,"1.78905646
",sample name,100.0,1401.7024973898976,0.7
8.249999999999998,"1.78477037
",sample name,100.0,1401.7024973898976,0.7
8.799999999999999,"1.78104676
",sample name,100.0,1401.7024973898976,0.7
9.35,"1.77604419
",sample name,100.0,1401.7024973898976,0.7
9.9,"1.774095
",sample name,100.0,1401.7024973898976,0.7
10.450000000000001,"1.77105704
",sample name,100.0,1401.7024973898976,0.7
11.000000000000002,"1.76739164
",sample name,100.0,1401.7024973898976,0.7
10.450000000000001,"1.76615912
",sample name,100.0,1401.7024973898976,0.7
9.9,"1.76520186
",sample name,100.0,1401.7024973898976,0.7
9.35,"1.76394746
",sample name,100.0,1401.7024973898976,0.7
8.799999999999999,"1.76375769
",sample name,100.0,1401.7024973898976,0.7
8.249999999999998,"1.76575832
",sample name,100.0,1401.7024973898976,0.7
7.699999999999998,"1.76528645
",sample name,100.0,1401.7024973898976,0.7
7.149999999999999,"1.76725618
",sample name,100.0,1401.7024973898976,0.7
6.599999999999999,"1.76896234
",sample name,100.0,1401.7024973898976,0.7
6.049999999999999,"1.7691242
",sample name,100.0,1401.7024973898976,0.7
5.499999999999999,"1.7713805
",sample name,100.0,1401.7024973898976,0.7
4.949999999999999,"1.77287864
",sample name,100.0,1401.7024973898976,0.7
4.3999999999999995,"1.77432743
",sample name,100.0,1401.7024973898976,0.7
3.8499999999999996,"1.77425778
",sample name,100.0,1401.7024973898976,0.7
3.3,"1.77693184
",sample name,100.0,1401.7024973898976,0.7
2.75,"1.77801642
",sample name,100.0,1401.7024973898976,0.7
2.2,"1.78001038
",sample name,100.0,1401.7024973898976,0.7
1.6500000000000001,"1.7806455
",sample name,100.0,1401.7024973898976,0.7
1.1,"1.78182943
",sample name,100.0,1401.7024973898976,0.7
0.55,"1.78231851
",sample name,100.0,1401.7024973898976,0.7
0.0,"1.78375441
",sample name,100.0,1401.7024973898976,0.7
-0.55,"1.78391582
",sample name,100.0,1401.7024973898976,0.7
-1.1,"1.78568273
",sample name,100.0,1401.7024973898976,0.7
-1.6500000000000001,"1.79009394
",sample name,100.0,1401.7024973898976,0.7
-2.2,"1.82781909
",sample name,100.0,1401.7024973898976,0.7
-2.75,"1.85909313
",sample name,100.0,1401.7024973898976,0.7
-3.3,"1.89221693
",sample name,100.0,1401.7024973898976,0.7
-3.8499999999999996,"1.91826936
",sample name,100.0,1401.7024973898976,0.7
-4.3999999999999995,"1.93294457
",sample name,100.0,1401.7024973898976,0.7
-4.949999999999999,"1.94262714
",sample name,100.0,1401.7024973898976,0.7
-5.499999999999999,"1.9512658
",sample name,100.0,1401.7024973898976,0.7
-6.049999999999999,"1.95855699
",sample name,100.0,1401.7024973898976,0.7
-6.599999999999999,"1.95935964
",sample name,100.0,1401.7024973898976,0.7
-7.149999999999999,"1.96324718
",sample name,100.0,1401.7024973898976,0.7
-7.699999999999998,"1.96366318
",sample name,100.0,1401.7024973898976,0.7
-8.249999999999998,"1.96703396
",sample name,100.0,1401.7024973898976,0.7
-8.799999999999999,"1.96493186
",sample name,100.0,1401.7024973898976,0.7
-9.35,"1.96180835
",sample name,100.0,1401.7024973898976,0.7
-9.9,"1.95920554
",sample name,100.0,1401.7024973898976,0.7
-10.450000000000001,"1.95686133
",sample name,100.0,1401.7024973898976,0.7
-11.000000000000002,"1.9547052
",sample name,100.0,1401.7024973898976,0.7
-10.450000000000001,"1.95208031
",sample name,100.0,1401.7024973898976,0.7
-9.9,"1.95310536
",sample name,100.0,1401.7024973898976,0.7
-9.35,"1.95315293
",sample name,100.0,1401.7024973898976,0.7
-8.799999999999999,"1.95184039
",sample name,100.0,1401.7024973898976,0.7
-8.249999999999998,"1.95319878
",sample name,100.0,1401.7024973898976,0.7
-7.699999999999998,"1.95377691
",sample name,100.0,1401.7024973898976,0.7
-7.149999999999999,"1.95413429
",sample name,100.0,1401.7024973898976,0.7
-6.599999999999999,"1.95662705
",sample name,100.0,1401.7024973898976,0.7
-6.049999999999999,"1.95643927
",sample name,100.0,1401.7024973898976,0.7
-5.499999999999999,"1.9576995
",sample name,100.0,1401.7024973898976,0.7
-4.949999999999999,"1.95940313
",sample name,100.0,1401.7024973898976,0.7
-4.3999999999999995,"1.96140882
",sample name,100.0,1401.7024973898976,0.7
-3.8499999999999996,"1.96306958
",sample name,100.0,1401.7024973898976,0.7
-3.3,"1.964554
",sample name,100.0,1401.7024973898976,0.7
-2.75,"1.96574606
",sample name,100.0,1401.7024973898976,0.7
-2.2,"1.96614482
",sample name,100.0,1401.7024973898976,0.7
-1.6500000000000001,"1.96736019
",sample name,100.0,1401.7024973898976,0.7
-1.1,"1.96902449
",sample name,100.0,1401.7024973898976,0.7
-0.55,"1.97047429
",sample name,100.0,1401.7024973898976,0.7
0.0,"1.97164582
",sample name,100.0,1401.7024973898976,0.7
