Current(mA),Resistance(Ohm),sample name,Applied in-plane field (Oe),Initial resistance Ohm,Pulse width s
0,"1.97779179
",sample name,100.0,1336.3970424473293,0.39999999999999997
0.55,"1.97795619
",sample name,100.0,1336.3970424473293,0.39999999999999997
1.1,"1.97823081
",sample name,100.0,1336.3970424473293,0.39999999999999997
1.6500000000000001,"1.9780831
",sample name,100.0,1336.3970424473293,0.39999999999999997
2.2,"1.97780519
",sample name,100.0,1336.3970424473293,0.39999999999999997
2.75,"1.97775807
",sample name,100.0,1336.3970424473293,0.39999999999999997
3.3,"1.96101598
",sample name,100.0,1336.3970424473293,0.39999999999999997
3.8499999999999996,"1.9235755
",sample name,100.0,1336.3970424473293,0.39999999999999997
4.3999999999999995,"1.88836627
",sample name,100.0,1336.3970424473293,0.39999999999999997
4.949999999999999,"1.86253
",sample name,100.0,1336.3970424473293,0.39999999999999997
5.499999999999999,"1.84117383
",sample name,100.0,1336.3970424473293,0.39999999999999997
6.049999999999999,"1.83293902
",sample name,100.0,1336.3970424473293,0.39999999999999997
6.599999999999999,"1.80826025
",sample name,100.0,1336.3970424473293,0.39999999999999997
7.149999999999999,"1.79747846
",sample name,100.0,1336.3970424473293,0.39999999999999997
7.699999999999998,"1.79603417
",sample name,100.0,1336.3970424473293,0.39999999999999997
8.249999999999998,"1.79310272
",sample name,100.0,1336.3970424473293,0.39999999999999997
8.799999999999999,"1.7900629
",sample name,100.0,1336.3970424473293,0.39999999999999997
9.35,"1.78677685
",sample name,100.0,1336.3970424473293,0.39999999999999997
9.9,"1.78371066
",sample name,100.0,1336.3970424473293,0.39999999999999997
10.450000000000001,"1.77976172
",sample name,100.0,1336.3970424473293,0.39999999999999997
11.000000000000002,"1.7786194
",sample name,100.0,1336.3970424473293,0.39999999999999997
10.450000000000001,"1.7750692
",sample name,100.0,1336.3970424473293,0.39999999999999997
9.9,"1.77488077
",sample name,100.0,1336.3970424473293,0.39999999999999997
9.35,"1.77364865
",sample name,100.0,1336.3970424473293,0.39999999999999997
8.799999999999999,"1.77316923
",sample name,100.0,1336.3970424473293,0.39999999999999997
8.249999999999998,"1.77443911
",sample name,100.0,1336.3970424473293,0.39999999999999997
7.699999999999998,"1.77460079
",sample name,100.0,1336.3970424473293,0.39999999999999997
7.149999999999999,"1.77569844
",sample name,100.0,1336.3970424473293,0.39999999999999997
6.599999999999999,"1.77765344
",sample name,100.0,1336.3970424473293,0.39999999999999997
6.049999999999999,"1.77743568
",sample name,100.0,1336.3970424473293,0.39999999999999997
5.499999999999999,"1.77932251
",sample name,100.0,1336.3970424473293,0.39999999999999997
4.949999999999999,"1.77982775
",sample name,100.0,1336.3970424473293,0.39999999999999997
4.3999999999999995,"1.77937416
",sample name,100.0,1336.3970424473293,0.39999999999999997
3.8499999999999996,"1.78177913
",sample name,100.0,1336.3970424473293,0.39999999999999997
3.3,"1.78331176
",sample name,100.0,1336.3970424473293,0.39999999999999997
2.75,"1.78313125
",sample name,100.0,1336.3970424473293,0.39999999999999997
