Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"281.3485907917384
",sample name,-400.0,-1.5,2867.2289780215674
-193.333333333,"281.1189221170396
",sample name,-400.0,-1.5,2867.2289780215674
-186.666666667,"281.2422547332186
",sample name,-400.0,-1.5,2867.2289780215674
-180.0,"281.39414802065403
",sample name,-400.0,-1.5,2867.2289780215674
-173.333333333,"281.5735800344234
",sample name,-400.0,-1.5,2867.2289780215674
-166.666666667,"280.97568846815835
",sample name,-400.0,-1.5,2867.2289780215674
-160.0,"280.8688683304647
",sample name,-400.0,-1.5,2867.2289780215674
-153.333333333,"280.9235692771084
",sample name,-400.0,-1.5,2867.2289780215674
-146.666666667,"280.85993975903614
",sample name,-400.0,-1.5,2867.2289780215674
-140.0,"280.95121557659206
",sample name,-400.0,-1.5,2867.2289780215674
-133.333333333,"281.3280443201377
",sample name,-400.0,-1.5,2867.2289780215674
-126.666666667,"281.12322504302927
",sample name,-400.0,-1.5,2867.2289780215674
-120.0,"281.0707293459552
",sample name,-400.0,-1.5,2867.2289780215674
-113.333333333,"280.56712564543886
",sample name,-400.0,-1.5,2867.2289780215674
-106.666666667,"281.1127904475043
",sample name,-400.0,-1.5,2867.2289780215674
-100.0,"281.2721600688468
",sample name,-400.0,-1.5,2867.2289780215674
-93.3333333333,"281.11322074010326
",sample name,-400.0,-1.5,2867.2289780215674
-86.6666666667,"281.4409961273666
",sample name,-400.0,-1.5,2867.2289780215674
-80.0,"280.85778829604135
",sample name,-400.0,-1.5,2867.2289780215674
-73.3333333333,"281.2880808950086
",sample name,-400.0,-1.5,2867.2289780215674
-66.6666666667,"281.12865748709123
",sample name,-400.0,-1.5,2867.2289780215674
-60.0,"281.8908132530121
",sample name,-400.0,-1.5,2867.2289780215674
-53.3333333333,"281.3616071428571
",sample name,-400.0,-1.5,2867.2289780215674
-46.6666666667,"281.49494406196214
",sample name,-400.0,-1.5,2867.2289780215674
-40.0,"281.1206970740103
",sample name,-400.0,-1.5,2867.2289780215674
-33.3333333333,"281.5365748709122
",sample name,-400.0,-1.5,2867.2289780215674
