Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"280.89140490533566
",sample name,-400.0,-1.9,2929.3741471960648
-193.333333333,"280.85778829604135
",sample name,-400.0,-1.9,2929.3741471960648
-186.666666667,"281.5585735800345
",sample name,-400.0,-1.9,2929.3741471960648
-180.0,"281.27581755593803
",sample name,-400.0,-1.9,2929.3741471960648
-173.333333333,"281.54975258175557
",sample name,-400.0,-1.9,2929.3741471960648
-166.666666667,"281.6274203958692
",sample name,-400.0,-1.9,2929.3741471960648
-160.0,"281.3710735800344
",sample name,-400.0,-1.9,2929.3741471960648
-153.333333333,"281.59681583476765
",sample name,-400.0,-1.9,2929.3741471960648
-146.666666667,"281.70202237521517
",sample name,-400.0,-1.9,2929.3741471960648
-140.0,"281.3653184165232
",sample name,-400.0,-1.9,2929.3741471960648
-133.333333333,"281.54964500860586
",sample name,-400.0,-1.9,2929.3741471960648
-126.666666667,"281.444169535284
",sample name,-400.0,-1.9,2929.3741471960648
-120.0,"281.58492900172115
",sample name,-400.0,-1.9,2929.3741471960648
-113.333333333,"281.6878765060241
",sample name,-400.0,-1.9,2929.3741471960648
-106.666666667,"280.9475580895009
",sample name,-400.0,-1.9,2929.3741471960648
-100.0,"281.3982358003442
",sample name,-400.0,-1.9,2929.3741471960648
-93.3333333333,"280.78297117039585
",sample name,-400.0,-1.9,2929.3741471960648
-86.6666666667,"280.83912435456114
",sample name,-400.0,-1.9,2929.3741471960648
-80.0,"281.1797547332186
",sample name,-400.0,-1.9,2929.3741471960648
-73.3333333333,"280.6902969018933
",sample name,-400.0,-1.9,2929.3741471960648
-66.6666666667,"281.3805938037866
",sample name,-400.0,-1.9,2929.3741471960648
-60.0,"281.0874031841652
",sample name,-400.0,-1.9,2929.3741471960648
-53.3333333333,"281.39877366609295
",sample name,-400.0,-1.9,2929.3741471960648
-46.6666666667,"281.3278291738382
",sample name,-400.0,-1.9,2929.3741471960648
-40.0,"280.87467728055077
",sample name,-400.0,-1.9,2929.3741471960648
-33.3333333333,"281.1039156626506
",sample name,-400.0,-1.9,2929.3741471960648
-26.6666666667,"281.0791200516351
",sample name,-400.0,-1.9,2929.3741471960648
-20.0,"281.557497848537
",sample name,-400.0,-1.9,2929.3741471960648
-13.3333333333,"281.2581755593804
",sample name,-400.0,-1.9,2929.3741471960648
-6.66666666667,"281.42873278829603
",sample name,-400.0,-1.9,2929.3741471960648
0.0,"281.13763984509467
",sample name,-400.0,-1.9,2929.3741471960648
6.66666666667,"280.61510327022376
",sample name,-400.0,-1.9,2929.3741471960648
13.3333333333,"281.0069922547332
",sample name,-400.0,-1.9,2929.3741471960648
20.0,"281.3547762478486
",sample name,-400.0,-1.9,2929.3741471960648
26.6666666667,"280.870428141136
",sample name,-400.0,-1.9,2929.3741471960648
33.3333333333,"280.8412758175559
",sample name,-400.0,-1.9,2929.3741471960648
