Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"281.17539802065403
",sample name,400.0,-1.9,2822.653307026761
-193.333333333,"280.77049268502583
",sample name,400.0,-1.9,2822.653307026761
-186.666666667,"281.1131669535284
",sample name,400.0,-1.9,2822.653307026761
-180.0,"281.6906196213425
",sample name,400.0,-1.9,2822.653307026761
-173.333333333,"280.9187822719449
",sample name,400.0,-1.9,2822.653307026761
-166.666666667,"281.42851764199656
",sample name,400.0,-1.9,2822.653307026761
-160.0,"281.19739672977624
",sample name,400.0,-1.9,2822.653307026761
-153.333333333,"281.0609939759036
",sample name,400.0,-1.9,2822.653307026761
-146.666666667,"280.9236230636833
",sample name,400.0,-1.9,2822.653307026761
-140.0,"280.9672439759036
",sample name,400.0,-1.9,2822.653307026761
-133.333333333,"281.22235370051635
",sample name,400.0,-1.9,2822.653307026761
-126.666666667,"281.0850903614458
",sample name,400.0,-1.9,2822.653307026761
-120.0,"280.9071643717728
",sample name,400.0,-1.9,2822.653307026761
-113.333333333,"281.1432336488812
",sample name,400.0,-1.9,2822.653307026761
-106.666666667,"279.6514629948365
",sample name,400.0,-1.9,2822.653307026761
-100.0,"281.1952452667814
",sample name,400.0,-1.9,2822.653307026761
-93.3333333333,"281.0
",sample name,400.0,-1.9,2822.653307026761
-86.6666666667,"280.8058842512909
",sample name,400.0,-1.9,2822.653307026761
-80.0,"280.8981820137694
",sample name,400.0,-1.9,2822.653307026761
-73.3333333333,"281.18879087779686
",sample name,400.0,-1.9,2822.653307026761
-66.6666666667,"280.88473537005166
",sample name,400.0,-1.9,2822.653307026761
-60.0,"280.8543459552496
",sample name,400.0,-1.9,2822.653307026761
-53.3333333333,"281.2770008605852
",sample name,400.0,-1.9,2822.653307026761
-46.6666666667,"281.3894148020654
",sample name,400.0,-1.9,2822.653307026761
-40.0,"280.89140490533566
",sample name,400.0,-1.9,2822.653307026761
-33.3333333333,"281.1912112736661
",sample name,400.0,-1.9,2822.653307026761
-26.6666666667,"280.9280335628227
",sample name,400.0,-1.9,2822.653307026761
-20.0,"280.82390275387263
",sample name,400.0,-1.9,2822.653307026761
-13.3333333333,"280.79986015490533
",sample name,400.0,-1.9,2822.653307026761
-6.66666666667,"281.1302710843373
",sample name,400.0,-1.9,2822.653307026761
0.0,"280.7905012908778
",sample name,400.0,-1.9,2822.653307026761
6.66666666667,"281.07003012048193
",sample name,400.0,-1.9,2822.653307026761
13.3333333333,"282.287919535284
",sample name,400.0,-1.9,2822.653307026761
20.0,"280.9360477624785
",sample name,400.0,-1.9,2822.653307026761
26.6666666667,"281.17577452667814
",sample name,400.0,-1.9,2822.653307026761
33.3333333333,"280.9606282271945
",sample name,400.0,-1.9,2822.653307026761
40.0,"280.8801635111876
",sample name,400.0,-1.9,2822.653307026761
46.6666666667,"280.9908562822719
",sample name,400.0,-1.9,2822.653307026761
53.3333333333,"281.8488059380379
",sample name,400.0,-1.9,2822.653307026761
60.0,"284.4167383820998
",sample name,400.0,-1.9,2822.653307026761
66.6666666667,"285.3447719449225
",sample name,400.0,-1.9,2822.653307026761
73.3333333333,"286.6592082616179
",sample name,400.0,-1.9,2822.653307026761
80.0,"285.05986445783134
",sample name,400.0,-1.9,2822.653307026761
86.6666666667,"284.9510542168675
",sample name,400.0,-1.9,2822.653307026761
93.3333333333,"284.79356712564544
",sample name,400.0,-1.9,2822.653307026761
100.0,"284.4119513769363
",sample name,400.0,-1.9,2822.653307026761
106.666666667,"284.91840576592085
",sample name,400.0,-1.9,2822.653307026761
113.333333333,"285.02479561101546
",sample name,400.0,-1.9,2822.653307026761
