Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"282.1651247848537
",sample name,750.0,-1.5,2767.8920517491033
-193.333333333,"282.2076699655766
",sample name,750.0,-1.5,2767.8920517491033
-186.666666667,"282.8306260757315
",sample name,750.0,-1.5,2767.8920517491033
-180.0,"282.26710413080895
",sample name,750.0,-1.5,2767.8920517491033
-173.333333333,"282.6076269363167
",sample name,750.0,-1.5,2767.8920517491033
-166.666666667,"282.1074117900172
",sample name,750.0,-1.5,2767.8920517491033
-160.0,"281.8669320137694
",sample name,750.0,-1.5,2767.8920517491033
-153.333333333,"283.60031196213424
",sample name,750.0,-1.5,2767.8920517491033
-146.666666667,"283.36660929432014
",sample name,750.0,-1.5,2767.8920517491033
-140.0,"281.0428141135972
",sample name,750.0,-1.5,2767.8920517491033
-133.333333333,"283.3563360585198
",sample name,750.0,-1.5,2767.8920517491033
-126.666666667,"283.04017857142856
",sample name,750.0,-1.5,2767.8920517491033
-120.0,"284.1307551635112
",sample name,750.0,-1.5,2767.8920517491033
-113.333333333,"282.8592405335628
",sample name,750.0,-1.5,2767.8920517491033
-106.666666667,"283.27119191049917
",sample name,750.0,-1.5,2767.8920517491033
-100.0,"283.1505486230637
",sample name,750.0,-1.5,2767.8920517491033
-93.3333333333,"281.41835197934597
",sample name,750.0,-1.5,2767.8920517491033
-86.6666666667,"282.5013446643718
",sample name,750.0,-1.5,2767.8920517491033
-80.0,"281.73241179001724
",sample name,750.0,-1.5,2767.8920517491033
-73.3333333333,"281.59606282271943
",sample name,750.0,-1.5,2767.8920517491033
-66.6666666667,"283.009574010327
",sample name,750.0,-1.5,2767.8920517491033
-60.0,"281.9889199655766
",sample name,750.0,-1.5,2767.8920517491033
-53.3333333333,"282.9306691049914
",sample name,750.0,-1.5,2767.8920517491033
-46.6666666667,"283.1674376075731
",sample name,750.0,-1.5,2767.8920517491033
-40.0,"281.97418244406197
",sample name,750.0,-1.5,2767.8920517491033
-33.3333333333,"283.23036790017215
",sample name,750.0,-1.5,2767.8920517491033
-26.6666666667,"281.4181368330465
",sample name,750.0,-1.5,2767.8920517491033
-20.0,"283.1161790017212
",sample name,750.0,-1.5,2767.8920517491033
-13.3333333333,"283.26699655765924
",sample name,750.0,-1.5,2767.8920517491033
-6.66666666667,"283.1177925989673
",sample name,750.0,-1.5,2767.8920517491033
0.0,"283.1177925989673
",sample name,750.0,-1.5,2767.8920517491033
6.66666666667,"282.9711166092943
",sample name,750.0,-1.5,2767.8920517491033
13.3333333333,"282.6375322719449
",sample name,750.0,-1.5,2767.8920517491033
20.0,"282.54152323580035
",sample name,750.0,-1.5,2767.8920517491033
26.6666666667,"282.4726226333907
",sample name,750.0,-1.5,2767.8920517491033
33.3333333333,"282.4908562822719
",sample name,750.0,-1.5,2767.8920517491033
40.0,"284.10068846815835
",sample name,750.0,-1.5,2767.8920517491033
46.6666666667,"286.32040662650604
",sample name,750.0,-1.5,2767.8920517491033
53.3333333333,"287.1835735800344
",sample name,750.0,-1.5,2767.8920517491033
60.0,"287.4445460413081
",sample name,750.0,-1.5,2767.8920517491033
66.6666666667,"287.4445460413081
",sample name,750.0,-1.5,2767.8920517491033
73.3333333333,"287.0423300344234
",sample name,750.0,-1.5,2767.8920517491033
80.0,"287.669589070568
",sample name,750.0,-1.5,2767.8920517491033
86.6666666667,"286.8008820998279
",sample name,750.0,-1.5,2767.8920517491033
93.3333333333,"287.0000537865749
",sample name,750.0,-1.5,2767.8920517491033
100.0,"287.4479883820998
",sample name,750.0,-1.5,2767.8920517491033
106.666666667,"287.2922762478485
",sample name,750.0,-1.5,2767.8920517491033
113.333333333,"287.28345524956967
",sample name,750.0,-1.5,2767.8920517491033
120.0,"287.45632530120486
",sample name,750.0,-1.5,2767.8920517491033
126.666666667,"286.80432444061967
",sample name,750.0,-1.5,2767.8920517491033
133.333333333,"287.27576376936315
",sample name,750.0,-1.5,2767.8920517491033
140.0,"287.2298838209982
",sample name,750.0,-1.5,2767.8920517491033
146.666666667,"287.32847461273667
",sample name,750.0,-1.5,2767.8920517491033
153.333333333,"287.81465146299485
",sample name,750.0,-1.5,2767.8920517491033
160.0,"286.8360585197935
",sample name,750.0,-1.5,2767.8920517491033
166.666666667,"286.66490963855426
",sample name,750.0,-1.5,2767.8920517491033
173.333333333,"287.2307981927711
",sample name,750.0,-1.5,2767.8920517491033
180.0,"286.7313360585198
",sample name,750.0,-1.5,2767.8920517491033
186.666666667,"286.78802710843377
",sample name,750.0,-1.5,2767.8920517491033
193.333333333,"286.89436316695355
",sample name,750.0,-1.5,2767.8920517491033
200.0,"286.7200946643718
",sample name,750.0,-1.5,2767.8920517491033
193.333333333,"287.3119621342513
",sample name,750.0,-1.5,2767.8920517491033
186.666666667,"287.20648666092944
",sample name,750.0,-1.5,2767.8920517491033
180.0,"287.24747203098104
",sample name,750.0,-1.5,2767.8920517491033
173.333333333,"286.60859509466434
",sample name,750.0,-1.5,2767.8920517491033
166.666666667,"287.1043459552496
",sample name,750.0,-1.5,2767.8920517491033
160.0,"287.2696320998279
",sample name,750.0,-1.5,2767.8920517491033
153.333333333,"286.8367577452668
",sample name,750.0,-1.5,2767.8920517491033
146.666666667,"287.0057013769363
",sample name,750.0,-1.5,2767.8920517491033
140.0,"287.06126290877796
",sample name,750.0,-1.5,2767.8920517491033
133.333333333,"287.1057981927711
",sample name,750.0,-1.5,2767.8920517491033
126.666666667,"287.22665662650604
",sample name,750.0,-1.5,2767.8920517491033
120.0,"287.20266781411357
",sample name,750.0,-1.5,2767.8920517491033
113.333333333,"287.02775387263335
",sample name,750.0,-1.5,2767.8920517491033
106.666666667,"286.94255593803786
",sample name,750.0,-1.5,2767.8920517491033
100.0,"287.22939974182447
",sample name,750.0,-1.5,2767.8920517491033
93.3333333333,"287.2555938037866
",sample name,750.0,-1.5,2767.8920517491033
86.6666666667,"286.96751290877796
",sample name,750.0,-1.5,2767.8920517491033
80.0,"287.03022805507743
",sample name,750.0,-1.5,2767.8920517491033
