Field(Oe),Resistance(Ohm),Sample name,Applied in-plane field (Oe),Applied current (mA)
-80.0,"342.430753333
",sample_name,0.0,3.0
-78.6666666667,"342.431406667
",sample_name,0.0,3.0
-77.3333333333,"342.43232
",sample_name,0.0,3.0
-76.0,"342.43343
",sample_name,0.0,3.0
-74.6666666667,"342.436206667
",sample_name,0.0,3.0
-73.3333333333,"342.433233333
",sample_name,0.0,3.0
-72.0,"342.431633333
",sample_name,0.0,3.0
-70.6666666667,"342.431633333
",sample_name,0.0,3.0
-69.3333333333,"342.434606667
",sample_name,0.0,3.0
-68.0,"342.435976667
",sample_name,0.0,3.0
-66.6666666667,"342.432546667
",sample_name,0.0,3.0
-65.3333333333,"342.433656667
",sample_name,0.0,3.0
-64.0,"342.432286667
",sample_name,0.0,3.0
-62.6666666667,"342.43663
",sample_name,0.0,3.0
-61.3333333333,"342.437086667
",sample_name,0.0,3.0
-60.0,"342.4332
",sample_name,0.0,3.0
-58.6666666667,"342.43454
",sample_name,0.0,3.0
-57.3333333333,"342.438426667
",sample_name,0.0,3.0
-56.0,"342.442083333
",sample_name,0.0,3.0
-54.6666666667,"342.44006
",sample_name,0.0,3.0
-53.3333333333,"342.440286667
",sample_name,0.0,3.0
-52.0,"342.443716667
",sample_name,0.0,3.0
-50.6666666667,"342.44535
",sample_name,0.0,3.0
-49.3333333333,"342.444436667
",sample_name,0.0,3.0
-48.0,"342.447866667
",sample_name,0.0,3.0
-46.6666666667,"342.450153333
",sample_name,0.0,3.0
-45.3333333333,"342.44878
",sample_name,0.0,3.0
-44.0,"342.45038
",sample_name,0.0,3.0
-42.6666666667,"342.446493333
",sample_name,0.0,3.0
-41.3333333333,"342.45244
",sample_name,0.0,3.0
-40.0,"342.45198
",sample_name,0.0,3.0
-38.6666666667,"342.451523333
",sample_name,0.0,3.0
-37.3333333333,"342.453353333
",sample_name,0.0,3.0
-36.0,"342.454723333
",sample_name,0.0,3.0
-34.6666666667,"342.45381
",sample_name,0.0,3.0
-33.3333333333,"342.454266667
",sample_name,0.0,3.0
-32.0,"342.453123333
",sample_name,0.0,3.0
-30.6666666667,"342.45061
",sample_name,0.0,3.0
-29.3333333333,"342.455183333
",sample_name,0.0,3.0
-28.0,"342.453353333
",sample_name,0.0,3.0
-26.6666666667,"342.453123333
",sample_name,0.0,3.0
-25.3333333333,"342.454266667
",sample_name,0.0,3.0
-24.0,"342.45747
",sample_name,0.0,3.0
-22.6666666667,"342.454953333
",sample_name,0.0,3.0
-21.3333333333,"342.46044
",sample_name,0.0,3.0
-20.0,"342.45747
",sample_name,0.0,3.0
-18.6666666667,"342.45861
",sample_name,0.0,3.0
-17.3333333333,"342.46387
",sample_name,0.0,3.0
-16.0,"342.465926667
",sample_name,0.0,3.0
-14.6666666667,"342.46253
",sample_name,0.0,3.0
-13.3333333333,"342.463673333
",sample_name,0.0,3.0
-12.0,"342.464816667
",sample_name,0.0,3.0
-10.6666666667,"342.46962
",sample_name,0.0,3.0
-9.33333333333,"342.466876667
",sample_name,0.0,3.0
-8.0,"342.471446667
",sample_name,0.0,3.0
-6.66666666667,"342.46939
",sample_name,0.0,3.0
-5.33333333333,"342.468933333
",sample_name,0.0,3.0
-4.0,"342.468703333
",sample_name,0.0,3.0
-2.66666666667,"342.471446667
",sample_name,0.0,3.0
-1.33333333333,"342.475106667
",sample_name,0.0,3.0
1.00100214576e-13,"342.47785
",sample_name,0.0,3.0
1.33333333333,"342.47442
",sample_name,0.0,3.0
2.66666666667,"342.477393333
",sample_name,0.0,3.0
4.0,"342.478306667
",sample_name,0.0,3.0
5.33333333333,"342.478763333
",sample_name,0.0,3.0
6.66666666667,"342.479873333
",sample_name,0.0,3.0
8.0,"342.482616667
",sample_name,0.0,3.0
9.33333333333,"342.48128
",sample_name,0.0,3.0
10.6666666667,"342.483106667
",sample_name,0.0,3.0
12.0,"342.489736667
",sample_name,0.0,3.0
13.3333333333,"342.486766667
",sample_name,0.0,3.0
14.6666666667,"342.488823333
",sample_name,0.0,3.0
16.0,"342.495226667
",sample_name,0.0,3.0
17.3333333333,"342.497283333
",sample_name,0.0,3.0
18.6666666667,"342.496596667
",sample_name,0.0,3.0
20.0,"342.498196667
",sample_name,0.0,3.0
21.3333333333,"342.50166
",sample_name,0.0,3.0
22.6666666667,"342.506003333
",sample_name,0.0,3.0
24.0,"342.507603333
",sample_name,0.0,3.0
25.3333333333,"342.510346667
",sample_name,0.0,3.0
26.6666666667,"342.513776667
",sample_name,0.0,3.0
28.0,"342.522923333
",sample_name,0.0,3.0
29.3333333333,"342.52658
",sample_name,0.0,3.0
30.6666666667,"342.53138
",sample_name,0.0,3.0
32.0,"342.537326667
",sample_name,0.0,3.0
33.3333333333,"342.535266667
",sample_name,0.0,3.0
34.6666666667,"342.544413333
",sample_name,0.0,3.0
36.0,"342.537783333
",sample_name,0.0,3.0
37.3333333333,"342.52841
",sample_name,0.0,3.0
38.6666666667,"342.519036667
",sample_name,0.0,3.0
40.0,"342.506003333
",sample_name,0.0,3.0
41.3333333333,"342.505776667
",sample_name,0.0,3.0
42.6666666667,"342.499796667
",sample_name,0.0,3.0
44.0,"342.498653333
",sample_name,0.0,3.0
45.3333333333,"342.496596667
",sample_name,0.0,3.0
46.6666666667,"342.493853333
",sample_name,0.0,3.0
48.0,"342.49294
",sample_name,0.0,3.0
49.3333333333,"342.491533333
",sample_name,0.0,3.0
50.6666666667,"342.487646667
",sample_name,0.0,3.0
52.0,"342.487876667
",sample_name,0.0,3.0
53.3333333333,"342.48399
",sample_name,0.0,3.0
54.6666666667,"342.48559
",sample_name,0.0,3.0
56.0,"342.482583333
",sample_name,0.0,3.0
57.3333333333,"342.481213333
",sample_name,0.0,3.0
58.6666666667,"342.482616667
",sample_name,0.0,3.0
60.0,"342.479873333
",sample_name,0.0,3.0
61.3333333333,"342.479186667
",sample_name,0.0,3.0
62.6666666667,"342.48696
",sample_name,0.0,3.0
64.0,"342.48144
",sample_name,0.0,3.0
65.3333333333,"342.475953333
",sample_name,0.0,3.0
66.6666666667,"342.479186667
",sample_name,0.0,3.0
68.0,"342.476216667
",sample_name,0.0,3.0
69.3333333333,"342.47736
",sample_name,0.0,3.0
70.6666666667,"342.476216667
",sample_name,0.0,3.0
72.0,"342.47576
",sample_name,0.0,3.0
73.3333333333,"342.475793333
",sample_name,0.0,3.0
74.6666666667,"342.474876667
",sample_name,0.0,3.0
76.0,"342.472133333
",sample_name,0.0,3.0
77.3333333333,"342.475333333
",sample_name,0.0,3.0
78.6666666667,"342.47602
",sample_name,0.0,3.0
80.0,"342.47602
",sample_name,0.0,3.0
78.6666666667,"342.478076667
",sample_name,0.0,3.0
77.3333333333,"342.483106667
",sample_name,0.0,3.0
76.0,"342.481963333
",sample_name,0.0,3.0
74.6666666667,"342.485393333
",sample_name,0.0,3.0
73.3333333333,"342.48288
",sample_name,0.0,3.0
72.0,"342.483336667
",sample_name,0.0,3.0
70.6666666667,"342.484936667
",sample_name,0.0,3.0
69.3333333333,"342.48288
",sample_name,0.0,3.0
68.0,"342.48056
",sample_name,0.0,3.0
66.6666666667,"342.481246667
",sample_name,0.0,3.0
65.3333333333,"342.48536
",sample_name,0.0,3.0
64.0,"342.483073333
",sample_name,0.0,3.0
62.6666666667,"342.48376
",sample_name,0.0,3.0
61.3333333333,"342.485816667
",sample_name,0.0,3.0
60.0,"342.488103333
",sample_name,0.0,3.0
58.6666666667,"342.48696
",sample_name,0.0,3.0
57.3333333333,"342.48879
",sample_name,0.0,3.0
56.0,"342.485393333
",sample_name,0.0,3.0
54.6666666667,"342.488856667
",sample_name,0.0,3.0
53.3333333333,"342.490686667
",sample_name,0.0,3.0
52.0,"342.494573333
",sample_name,0.0,3.0
50.6666666667,"342.492286667
",sample_name,0.0,3.0
49.3333333333,"342.500973333
",sample_name,0.0,3.0
48.0,"342.50349
",sample_name,0.0,3.0
46.6666666667,"342.498916667
",sample_name,0.0,3.0
45.3333333333,"342.498653333
",sample_name,0.0,3.0
44.0,"342.503913333
",sample_name,0.0,3.0
42.6666666667,"342.503913333
",sample_name,0.0,3.0
41.3333333333,"342.503033333
",sample_name,0.0,3.0
40.0,"342.503033333
",sample_name,0.0,3.0
38.6666666667,"342.502996667
",sample_name,0.0,3.0
37.3333333333,"342.507113333
",sample_name,0.0,3.0
36.0,"342.5126
",sample_name,0.0,3.0
34.6666666667,"342.509203333
",sample_name,0.0,3.0
33.3333333333,"342.512896667
",sample_name,0.0,3.0
32.0,"342.517696667
",sample_name,0.0,3.0
30.6666666667,"342.517536667
",sample_name,0.0,3.0
29.3333333333,"342.520016667
",sample_name,0.0,3.0
28.0,"342.524393333
",sample_name,0.0,3.0
26.6666666667,"342.522336667
",sample_name,0.0,3.0
25.3333333333,"342.528736667
",sample_name,0.0,3.0
24.0,"342.52851
",sample_name,0.0,3.0
22.6666666667,"342.531253333
",sample_name,0.0,3.0
21.3333333333,"342.536283333
",sample_name,0.0,3.0
20.0,"342.539026667
",sample_name,0.0,3.0
18.6666666667,"342.541083333
",sample_name,0.0,3.0
17.3333333333,"342.540626667
",sample_name,0.0,3.0
16.0,"342.545623333
",sample_name,0.0,3.0
14.6666666667,"342.555876667
",sample_name,0.0,3.0
13.3333333333,"342.551533333
",sample_name,0.0,3.0
12.0,"342.542583333
",sample_name,0.0,3.0
10.6666666667,"342.537096667
",sample_name,0.0,3.0
9.33333333333,"342.529323333
",sample_name,0.0,3.0
8.0,"342.52521
",sample_name,0.0,3.0
6.66666666667,"342.519493333
",sample_name,0.0,3.0
5.33333333333,"342.51812
",sample_name,0.0,3.0
4.0,"342.51469
",sample_name,0.0,3.0
2.66666666667,"342.513353333
",sample_name,0.0,3.0
1.33333333333,"342.512896667
",sample_name,0.0,3.0
1.09043876359e-13,"342.51198
",sample_name,0.0,3.0
-1.33333333333,"342.517206667
",sample_name,0.0,3.0
-2.66666666667,"342.51861
",sample_name,0.0,3.0
-4.0,"342.516816667
",sample_name,0.0,3.0
-5.33333333333,"342.509466667
",sample_name,0.0,3.0
-6.66666666667,"342.514496667
",sample_name,0.0,3.0
-8.0,"342.512666667
",sample_name,0.0,3.0
-9.33333333333,"342.50973
",sample_name,0.0,3.0
-10.6666666667,"342.513876667
",sample_name,0.0,3.0
-12.0,"342.505613333
",sample_name,0.0,3.0
-13.3333333333,"342.508586667
",sample_name,0.0,3.0
-14.6666666667,"342.50741
",sample_name,0.0,3.0
-16.0,"342.505123333
",sample_name,0.0,3.0
-17.3333333333,"342.50878
",sample_name,0.0,3.0
-18.6666666667,"342.50486
",sample_name,0.0,3.0
-20.0,"342.509663333
",sample_name,0.0,3.0
-21.3333333333,"342.505546667
",sample_name,0.0,3.0
-22.6666666667,"342.50375
",sample_name,0.0,3.0
-24.0,"342.508586667
",sample_name,0.0,3.0
