Field(Oe),Resistance(Ohm),Sample name,Applied in-plane field (Oe),Applied current (mA)
-1000.0,"-17.5290830952
",2,200.0,2.1
-975.0,"-17.5252298095
",2,200.0,2.1
-950.0,"-17.5157980952
",2,200.0,2.1
-925.0,"-17.5031459048
",2,200.0,2.1
-900.0,"-17.4883068095
",2,200.0,2.1
-875.0,"-17.4809872381
",2,200.0,2.1
-850.0,"-17.4694158095
",2,200.0,2.1
-825.0,"-17.4523430476
",2,200.0,2.1
-800.0,"-17.4356245238
",2,200.0,2.1
-775.0,"-17.4137492857
",2,200.0,2.1
-750.0,"-17.3924694762
",2,200.0,2.1
-725.0,"-17.3686046667
",2,200.0,2.1
-700.0,"-17.3415180952
",2,200.0,2.1
-675.0,"-17.3145418095
",2,200.0,2.1
-650.0,"-17.2844998571
",2,200.0,2.1
-625.0,"-17.2510274762
",2,200.0,2.1
-600.0,"-17.217414
",2,200.0,2.1
-575.0,"-17.1762659048
",2,200.0,2.1
-550.0,"-17.1370190952
",2,200.0,2.1
-525.0,"-17.0874764762
",2,200.0,2.1
-500.0,"-17.0316187143
",2,200.0,2.1
-475.0,"-16.9756561905
",2,200.0,2.1
-450.0,"-16.9062792381
",2,200.0,2.1
-425.0,"-16.8256732857
",2,200.0,2.1
-400.0,"-16.7392024286
",2,200.0,2.1
-375.0,"-16.637665619
",2,200.0,2.1
-350.0,"-16.5303149048
",2,200.0,2.1
-325.0,"-16.4029720476
",2,200.0,2.1
-300.0,"-16.2545561905
",2,200.0,2.1
-275.0,"-16.1022190952
",2,200.0,2.1
-250.0,"-15.9253604286
",2,200.0,2.1
-225.0,"-15.7072789048
",2,200.0,2.1
-200.0,"-15.4853628571
",2,200.0,2.1
-175.0,"-15.2250548571
",2,200.0,2.1
-150.0,"-14.9522353333
",2,200.0,2.1
-125.0,"-14.6838951905
",2,200.0,2.1
-100.0,"-14.3796794762
",2,200.0,2.1
-75.0,"-14.0478444286
",2,200.0,2.1
-50.0,"-13.7406507619
",2,200.0,2.1
-25.0,"-13.4150205714
",2,200.0,2.1
