Field(Oe),Resistance(Ohm),Sample name,Applied in-plane field (Oe),Applied current (mA)
-550.0,"-0.41068076125
",sample name,-1200.0,-1.5999999999999999
-539.0,"-0.41071064875
",sample name,-1200.0,-1.5999999999999999
-528.0,"-0.410875264375
",sample name,-1200.0,-1.5999999999999999
-517.0,"-0.41070719375
",sample name,-1200.0,-1.5999999999999999
-506.0,"-0.41059337875
",sample name,-1200.0,-1.5999999999999999
-495.0,"-0.4091908675
",sample name,-1200.0,-1.5999999999999999
-484.0,"-0.409367858125
",sample name,-1200.0,-1.5999999999999999
-473.0,"-0.408976165625
",sample name,-1200.0,-1.5999999999999999
-462.0,"-0.40982693875
",sample name,-1200.0,-1.5999999999999999
-451.0,"-0.40947736375
",sample name,-1200.0,-1.5999999999999999
-440.0,"-0.410058013125
",sample name,-1200.0,-1.5999999999999999
-429.0,"-0.40990217875
",sample name,-1200.0,-1.5999999999999999
-418.0,"-0.4096452625
",sample name,-1200.0,-1.5999999999999999
-407.0,"-0.409556739375
",sample name,-1200.0,-1.5999999999999999
-396.0,"-0.409497775
",sample name,-1200.0,-1.5999999999999999
-385.0,"-0.409889466875
",sample name,-1200.0,-1.5999999999999999
-374.0,"-0.4098178675
",sample name,-1200.0,-1.5999999999999999
-363.0,"-0.409876775
",sample name,-1200.0,-1.5999999999999999
-352.0,"-0.40940506
",sample name,-1200.0,-1.5999999999999999
-341.0,"-0.409982385
",sample name,-1200.0,-1.5999999999999999
-330.0,"-0.410011866875
",sample name,-1200.0,-1.5999999999999999
-319.0,"-0.409636965
",sample name,-1200.0,-1.5999999999999999
-308.0,"-0.40928317875
",sample name,-1200.0,-1.5999999999999999
-297.0,"-0.409645593125
",sample name,-1200.0,-1.5999999999999999
-286.0,"-0.409700345625
",sample name,-1200.0,-1.5999999999999999
-275.0,"-0.409814034375
",sample name,-1200.0,-1.5999999999999999
-264.0,"-0.409270719375
",sample name,-1200.0,-1.5999999999999999
-253.0,"-0.409270456875
",sample name,-1200.0,-1.5999999999999999
-242.0,"-0.409417868125
",sample name,-1200.0,-1.5999999999999999
-231.0,"-0.408988240625
",sample name,-1200.0,-1.5999999999999999
-220.0,"-0.41017174
",sample name,-1200.0,-1.5999999999999999
-209.0,"-0.40963684875
",sample name,-1200.0,-1.5999999999999999
-198.0,"-0.40937150875
",sample name,-1200.0,-1.5999999999999999
-187.0,"-0.40949362125
",sample name,-1200.0,-1.5999999999999999
-176.0,"-0.4097758075
",sample name,-1200.0,-1.5999999999999999
-165.0,"-0.40914006875
",sample name,-1200.0,-1.5999999999999999
-154.0,"-0.409699915
",sample name,-1200.0,-1.5999999999999999
-143.0,"-0.409291375625
",sample name,-1200.0,-1.5999999999999999
-132.0,"-0.410020006875
",sample name,-1200.0,-1.5999999999999999
-121.0,"-0.409771514375
",sample name,-1200.0,-1.5999999999999999
-110.0,"-0.409022148125
",sample name,-1200.0,-1.5999999999999999
-99.0,"-0.40914428875
",sample name,-1200.0,-1.5999999999999999
-88.0,"-0.40938857
",sample name,-1200.0,-1.5999999999999999
-77.0,"-0.40936726625
",sample name,-1200.0,-1.5999999999999999
-66.0,"-0.409632605625
",sample name,-1200.0,-1.5999999999999999
-55.0,"-0.409341995625
",sample name,-1200.0,-1.5999999999999999
-44.0,"-0.409375455625
",sample name,-1200.0,-1.5999999999999999
-33.0,"-0.4098046725
",sample name,-1200.0,-1.5999999999999999
-22.0,"-0.4095856625
",sample name,-1200.0,-1.5999999999999999
-11.0,"-0.409770920625
",sample name,-1200.0,-1.5999999999999999
6.84334533485e-13,"-0.409770920625
",sample name,-1200.0,-1.5999999999999999
11.0,"-0.409682474375
",sample name,-1200.0,-1.5999999999999999
22.0,"-0.40985120625
",sample name,-1200.0,-1.5999999999999999
33.0,"-0.409362673125
",sample name,-1200.0,-1.5999999999999999
44.0,"-0.4102934675
",sample name,-1200.0,-1.5999999999999999
55.0,"-0.410983880625
",sample name,-1200.0,-1.5999999999999999
66.0,"-0.40972454375
",sample name,-1200.0,-1.5999999999999999
77.0,"-0.409985425625
",sample name,-1200.0,-1.5999999999999999
88.0,"-0.409484569375
",sample name,-1200.0,-1.5999999999999999
99.0,"-0.410440380625
",sample name,-1200.0,-1.5999999999999999
110.0,"-0.410335086875
",sample name,-1200.0,-1.5999999999999999
121.0,"-0.410128740625
",sample name,-1200.0,-1.5999999999999999
132.0,"-0.40968648
",sample name,-1200.0,-1.5999999999999999
143.0,"-0.410680436875
",sample name,-1200.0,-1.5999999999999999
154.0,"-0.4097373475
",sample name,-1200.0,-1.5999999999999999
165.0,"-0.410344171875
",sample name,-1200.0,-1.5999999999999999
176.0,"-0.40988088
",sample name,-1200.0,-1.5999999999999999
187.0,"-0.410297911875
",sample name,-1200.0,-1.5999999999999999
198.0,"-0.4095858525
",sample name,-1200.0,-1.5999999999999999
209.0,"-0.40967042625
",sample name,-1200.0,-1.5999999999999999
220.0,"-0.4100660475
",sample name,-1200.0,-1.5999999999999999
231.0,"-0.409830456875
",sample name,-1200.0,-1.5999999999999999
242.0,"-0.409961049375
",sample name,-1200.0,-1.5999999999999999
253.0,"-0.40975892625
",sample name,-1200.0,-1.5999999999999999
264.0,"-0.410530015
",sample name,-1200.0,-1.5999999999999999
275.0,"-0.410799508125
",sample name,-1200.0,-1.5999999999999999
286.0,"-0.409906276875
",sample name,-1200.0,-1.5999999999999999
297.0,"-0.40978413625
",sample name,-1200.0,-1.5999999999999999
308.0,"-0.409636708125
",sample name,-1200.0,-1.5999999999999999
319.0,"-0.410040976875
",sample name,-1200.0,-1.5999999999999999
330.0,"-0.410086936875
",sample name,-1200.0,-1.5999999999999999
341.0,"-0.41080737
",sample name,-1200.0,-1.5999999999999999
352.0,"-0.41069783625
",sample name,-1200.0,-1.5999999999999999
363.0,"-0.60548184
",sample name,-1200.0,-1.5999999999999999
374.0,"-0.6091633025
",sample name,-1200.0,-1.5999999999999999
385.0,"-0.609445750625
",sample name,-1200.0,-1.5999999999999999
396.0,"-0.609727920625
",sample name,-1200.0,-1.5999999999999999
407.0,"-0.60967738
",sample name,-1200.0,-1.5999999999999999
418.0,"-0.61046113875
",sample name,-1200.0,-1.5999999999999999
429.0,"-0.610768275
",sample name,-1200.0,-1.5999999999999999
440.0,"-0.610212366875
",sample name,-1200.0,-1.5999999999999999
451.0,"-0.61018292875
",sample name,-1200.0,-1.5999999999999999
462.0,"-0.61022964625
",sample name,-1200.0,-1.5999999999999999
473.0,"-0.609943205625
",sample name,-1200.0,-1.5999999999999999
484.0,"-0.61057922125
",sample name,-1200.0,-1.5999999999999999
495.0,"-0.61043181
",sample name,-1200.0,-1.5999999999999999
506.0,"-0.609758016875
",sample name,-1200.0,-1.5999999999999999
517.0,"-0.6103013925
",sample name,-1200.0,-1.5999999999999999
528.0,"-0.609855450625
",sample name,-1200.0,-1.5999999999999999
539.0,"-0.610457688125
",sample name,-1200.0,-1.5999999999999999
550.0,"-0.609762289375
",sample name,-1200.0,-1.5999999999999999
539.0,"-0.61165749
",sample name,-1200.0,-1.5999999999999999
528.0,"-0.61189326125
",sample name,-1200.0,-1.5999999999999999
517.0,"-0.612048225
",sample name,-1200.0,-1.5999999999999999
506.0,"-0.612191526875
",sample name,-1200.0,-1.5999999999999999
495.0,"-0.612621385625
",sample name,-1200.0,-1.5999999999999999
484.0,"-0.61154272
",sample name,-1200.0,-1.5999999999999999
473.0,"-0.61244781125
",sample name,-1200.0,-1.5999999999999999
462.0,"-0.61175700125
",sample name,-1200.0,-1.5999999999999999
451.0,"-0.61215294625
",sample name,-1200.0,-1.5999999999999999
440.0,"-0.6118328125
",sample name,-1200.0,-1.5999999999999999
429.0,"-0.61193358875
",sample name,-1200.0,-1.5999999999999999
418.0,"-0.610931196875
",sample name,-1200.0,-1.5999999999999999
407.0,"-0.612724975
",sample name,-1200.0,-1.5999999999999999
396.0,"-0.611924786875
",sample name,-1200.0,-1.5999999999999999
385.0,"-0.61216494
",sample name,-1200.0,-1.5999999999999999
374.0,"-0.611339483125
",sample name,-1200.0,-1.5999999999999999
363.0,"-0.611845016875
",sample name,-1200.0,-1.5999999999999999
352.0,"-0.611116515625
",sample name,-1200.0,-1.5999999999999999
341.0,"-0.61254794625
",sample name,-1200.0,-1.5999999999999999
330.0,"-0.6124178625
",sample name,-1200.0,-1.5999999999999999
319.0,"-0.61256489625
",sample name,-1200.0,-1.5999999999999999
308.0,"-0.611743676875
",sample name,-1200.0,-1.5999999999999999
297.0,"-0.611764821875
",sample name,-1200.0,-1.5999999999999999
286.0,"-0.612084465625
",sample name,-1200.0,-1.5999999999999999
275.0,"-0.612547799375
",sample name,-1200.0,-1.5999999999999999
264.0,"-0.61279629125
",sample name,-1200.0,-1.5999999999999999
253.0,"-0.611596051875
",sample name,-1200.0,-1.5999999999999999
242.0,"-0.611743488125
",sample name,-1200.0,-1.5999999999999999
231.0,"-0.612202346875
",sample name,-1200.0,-1.5999999999999999
220.0,"-0.61187808625
",sample name,-1200.0,-1.5999999999999999
209.0,"-0.61272053625
",sample name,-1200.0,-1.5999999999999999
198.0,"-0.611865555625
",sample name,-1200.0,-1.5999999999999999
187.0,"-0.61266610375
",sample name,-1200.0,-1.5999999999999999
176.0,"-0.611718506875
",sample name,-1200.0,-1.5999999999999999
165.0,"-0.61237608375
",sample name,-1200.0,-1.5999999999999999
154.0,"-0.612186945
",sample name,-1200.0,-1.5999999999999999
143.0,"-0.6122127475
",sample name,-1200.0,-1.5999999999999999
132.0,"-0.611770515
",sample name,-1200.0,-1.5999999999999999
121.0,"-0.611703085
",sample name,-1200.0,-1.5999999999999999
110.0,"-0.612422829375
",sample name,-1200.0,-1.5999999999999999
99.0,"-0.61186266875
",sample name,-1200.0,-1.5999999999999999
88.0,"-0.61197634125
",sample name,-1200.0,-1.5999999999999999
77.0,"-0.61186754125
",sample name,-1200.0,-1.5999999999999999
66.0,"-0.61177056875
",sample name,-1200.0,-1.5999999999999999
55.0,"-0.612048499375
",sample name,-1200.0,-1.5999999999999999
44.0,"-0.6119141825
",sample name,-1200.0,-1.5999999999999999
33.0,"-0.61217530875
",sample name,-1200.0,-1.5999999999999999
22.0,"-0.612145784375
",sample name,-1200.0,-1.5999999999999999
11.0,"-0.6119310275
",sample name,-1200.0,-1.5999999999999999
6.77242983915e-13,"-0.61182948375
",sample name,-1200.0,-1.5999999999999999
-11.0,"-0.611707503125
",sample name,-1200.0,-1.5999999999999999
-22.0,"-0.611248705
",sample name,-1200.0,-1.5999999999999999
