Field(Oe),Resistance(Ohm),Sample name,Applied in-plane field (Oe),Applied current (mA)
-550.0,"-0.397779373
",sample name,-1200.0,-0.19999999999999996
-539.0,"-0.4026651695
",sample name,-1200.0,-0.19999999999999996
-528.0,"-0.4008121005
",sample name,-1200.0,-0.19999999999999996
-517.0,"-0.403036347
",sample name,-1200.0,-0.19999999999999996
-506.0,"-0.4026994175
",sample name,-1200.0,-0.19999999999999996
-495.0,"-0.393433949
",sample name,-1200.0,-0.19999999999999996
-484.0,"-0.3982521905
",sample name,-1200.0,-0.19999999999999996
-473.0,"-0.387975248
",sample name,-1200.0,-0.19999999999999996
-462.0,"-0.3912772575
",sample name,-1200.0,-0.19999999999999996
-451.0,"-0.391917443
",sample name,-1200.0,-0.19999999999999996
-440.0,"-0.395219453
",sample name,-1200.0,-0.19999999999999996
-429.0,"-0.397106316
",sample name,-1200.0,-0.19999999999999996
-418.0,"-0.3942086335
",sample name,-1200.0,-0.19999999999999996
-407.0,"-0.396904152
",sample name,-1200.0,-0.19999999999999996
-396.0,"-0.3963647375
",sample name,-1200.0,-0.19999999999999996
-385.0,"-0.3942083245
",sample name,-1200.0,-0.19999999999999996
-374.0,"-0.3938710345
",sample name,-1200.0,-0.19999999999999996
-363.0,"-0.39511771
",sample name,-1200.0,-0.19999999999999996
-352.0,"-0.393062625
",sample name,-1200.0,-0.19999999999999996
-341.0,"-0.395084262
",sample name,-1200.0,-0.19999999999999996
-330.0,"-0.393129981
",sample name,-1200.0,-0.19999999999999996
-319.0,"-0.3967352335
",sample name,-1200.0,-0.19999999999999996
-308.0,"-0.3943092375
",sample name,-1200.0,-0.19999999999999996
-297.0,"-0.394376625
",sample name,-1200.0,-0.19999999999999996
-286.0,"-0.3953537495
",sample name,-1200.0,-0.19999999999999996
-275.0,"-0.3910745855
",sample name,-1200.0,-0.19999999999999996
-264.0,"-0.387469334
",sample name,-1200.0,-0.19999999999999996
-253.0,"-0.391680769
",sample name,-1200.0,-0.19999999999999996
-242.0,"-0.3961283665
",sample name,-1200.0,-0.19999999999999996
-231.0,"-0.3939045675
",sample name,-1200.0,-0.19999999999999996
-220.0,"-0.3948816915
",sample name,-1200.0,-0.19999999999999996
-209.0,"-0.39144465
",sample name,-1200.0,-0.19999999999999996
-198.0,"-0.395150947
",sample name,-1200.0,-0.19999999999999996
-187.0,"-0.394443375
",sample name,-1200.0,-0.19999999999999996
-176.0,"-0.394780236
",sample name,-1200.0,-0.19999999999999996
-165.0,"-0.395150869
",sample name,-1200.0,-0.19999999999999996
-154.0,"-0.3906696145
",sample name,-1200.0,-0.19999999999999996
-143.0,"-0.393162636
",sample name,-1200.0,-0.19999999999999996
-132.0,"-0.39528535
",sample name,-1200.0,-0.19999999999999996
-121.0,"-0.3917134525
",sample name,-1200.0,-0.19999999999999996
-110.0,"-0.3930275125
",sample name,-1200.0,-0.19999999999999996
-99.0,"-0.394307912
",sample name,-1200.0,-0.19999999999999996
-88.0,"-0.3931292855
",sample name,-1200.0,-0.19999999999999996
