Field(Oe),Resistance(Ohm),Sample name,Applied in-plane field (Oe),Applied current (mA)
-1000.0,"-17.6942811818
",2,200.0,-1.0999999999999999
-975.0,"-17.6802051818
",2,200.0,-1.0999999999999999
-950.0,"-17.6648593636
",2,200.0,-1.0999999999999999
-925.0,"-17.6492684545
",2,200.0,-1.0999999999999999
-900.0,"-17.6323532727
",2,200.0,-1.0999999999999999
-875.0,"-17.6405317273
",2,200.0,-1.0999999999999999
-850.0,"-17.6308953636
",2,200.0,-1.0999999999999999
-825.0,"-17.6151205455
",2,200.0,-1.0999999999999999
-800.0,"-17.5997439091
",2,200.0,-1.0999999999999999
-775.0,"-17.5780666364
",2,200.0,-1.0999999999999999
-750.0,"-17.5584384545
",2,200.0,-1.0999999999999999
-725.0,"-17.5397537273
",2,200.0,-1.0999999999999999
-700.0,"-17.5123318182
",2,200.0,-1.0999999999999999
-675.0,"-17.4815295455
",2,200.0,-1.0999999999999999
-650.0,"-17.4573633636
",2,200.0,-1.0999999999999999
-625.0,"-17.4244965455
",2,200.0,-1.0999999999999999
-600.0,"-17.3911150909
",2,200.0,-1.0999999999999999
-575.0,"-17.355794
",2,200.0,-1.0999999999999999
-550.0,"-17.3166172727
",2,200.0,-1.0999999999999999
-525.0,"-17.2826527273
",2,200.0,-1.0999999999999999
-500.0,"-17.2354874545
",2,200.0,-1.0999999999999999
-475.0,"-17.1882915455
",2,200.0,-1.0999999999999999
-450.0,"-17.134278
",2,200.0,-1.0999999999999999
-425.0,"-17.0660143636
",2,200.0,-1.0999999999999999
-400.0,"-16.9997153636
",2,200.0,-1.0999999999999999
-375.0,"-16.919916
",2,200.0,-1.0999999999999999
-350.0,"-16.8296325455
",2,200.0,-1.0999999999999999
-325.0,"-16.7277668182
",2,200.0,-1.0999999999999999
-300.0,"-16.6098637273
",2,200.0,-1.0999999999999999
-275.0,"-16.4889639091
",2,200.0,-1.0999999999999999
-250.0,"-16.3420341818
",2,200.0,-1.0999999999999999
-225.0,"-16.1770220909
",2,200.0,-1.0999999999999999
-200.0,"-15.9928024545
",2,200.0,-1.0999999999999999
-175.0,"-15.7925132727
",2,200.0,-1.0999999999999999
-150.0,"-15.5636156364
",2,200.0,-1.0999999999999999
-125.0,"-15.3145089091
",2,200.0,-1.0999999999999999
-100.0,"-15.0628464545
",2,200.0,-1.0999999999999999
-75.0,"-14.7840267273
",2,200.0,-1.0999999999999999
-50.0,"-14.4755442727
",2,200.0,-1.0999999999999999
-25.0,"-14.1415198182
",2,200.0,-1.0999999999999999
-8.22619750096e-13,"-13.8254592727
",2,200.0,-1.0999999999999999
25.0,"-13.4837730909
",2,200.0,-1.0999999999999999
50.0,"-13.1744198182
",2,200.0,-1.0999999999999999
75.0,"-12.8437912727
",2,200.0,-1.0999999999999999
100.0,"-12.4533578182
",2,200.0,-1.0999999999999999
125.0,"-12.1373771818
",2,200.0,-1.0999999999999999
150.0,"-11.7813441818
",2,200.0,-1.0999999999999999
175.0,"-11.4353147273
",2,200.0,-1.0999999999999999
200.0,"-11.0762813636
",2,200.0,-1.0999999999999999
225.0,"-10.7257121818
",2,200.0,-1.0999999999999999
250.0,"-10.3944604545
",2,200.0,-1.0999999999999999
275.0,"-10.0666602727
",2,200.0,-1.0999999999999999
300.0,"-9.774933
",2,200.0,-1.0999999999999999
325.0,"-9.48636609091
",2,200.0,-1.0999999999999999
350.0,"-9.20517581818
",2,200.0,-1.0999999999999999
375.0,"-8.98231810909
",2,200.0,-1.0999999999999999
400.0,"-8.78384923636
",2,200.0,-1.0999999999999999
425.0,"-8.57983702727
",2,200.0,-1.0999999999999999
450.0,"-8.40788823636
",2,200.0,-1.0999999999999999
475.0,"-8.25977854545
",2,200.0,-1.0999999999999999
500.0,"-8.13214629091
",2,200.0,-1.0999999999999999
525.0,"-8.0206215
",2,200.0,-1.0999999999999999
550.0,"-7.92154521818
",2,200.0,-1.0999999999999999
575.0,"-7.83003285455
",2,200.0,-1.0999999999999999
600.0,"-7.74734699091
",2,200.0,-1.0999999999999999
625.0,"-7.67875254545
",2,200.0,-1.0999999999999999
650.0,"-7.61369111818
",2,200.0,-1.0999999999999999
675.0,"-7.55665672727
",2,200.0,-1.0999999999999999
700.0,"-7.50694307273
",2,200.0,-1.0999999999999999
725.0,"-7.46336781818
",2,200.0,-1.0999999999999999
750.0,"-7.41706671818
",2,200.0,-1.0999999999999999
775.0,"-7.37347924545
",2,200.0,-1.0999999999999999
800.0,"-7.33164132727
",2,200.0,-1.0999999999999999
825.0,"-7.29325932727
",2,200.0,-1.0999999999999999
